date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2025-07-23,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,228,False
2025-09-07,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,229,False
2025-07-03,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,230,False
2025-09-06,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,231,False
2025-07-26,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,232,False
2025-08-28,2,1,False,0,2,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,233,False
2025-09-13,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,234,False
2025-05-13,3,1,False,0,3,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,235,False
2025-11-26,2,1,False,0,2,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,236,False
2025-12-01,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,237,False
2025-10-11,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,238,False
2025-05-12,2,1,False,0,2,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,239,False
2025-12-05,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,240,False
2025-05-17,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,241,False
2025-12-06,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,242,False
2025-05-07,2,1,False,0,2,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,243,False
2026-04-17,1,1,True,1,0,100.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,244,False
2025-11-10,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,245,False
2025-11-22,2,1,False,0,2,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,246,False
2025-12-24,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,247,False
2025-11-12,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,248,False
2025-10-30,2,1,False,0,2,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,249,False
2025-10-24,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,250,False
2026-03-27,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,251,False
2026-02-11,2,1,False,0,2,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,252,False
2025-10-17,2,1,False,0,2,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,253,False
2025-10-03,2,1,False,0,2,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,254,False
2025-05-01,1,1,False,0,1,0.0,124.35,1.84,17.61,0.0,143.8,83.0,48500,255,False
